Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
medicube-red-succinic-pad-70,Red Succinic Acid Peeling Pad 70 pads,<p>70 pads exfoliants à l'acide succinique 0.5% + panthenol + niacinamide 2%. Exfoliation chimique douce. Chaque pad est imbibé d'une formule équilibrante pour une peau nette.</p>,Medicube,Pad exfoliant,"skincare,pads,exfoliant,acide-succinique,niacinamide,medicube",TRUE,Titre,70 pads,MED-RSP-001,0,shopify,15,continue,manual,22,30,TRUE,FALSE,https://images.unsplash.com/photo-9PnU-U7V6YE?w=600&q=80&auto=format&fit=crop,Red Succinic Acid Peeling Pad Medicube,active
medicube-deep-vita-c-pad-70,Deep Vita C Pad 70 pads,<p>Pads vitaminés avec eau vitaminée + dérivé de vitamine C + niacinamide 2%. Éclat et clarté immédiate. Formule légère pour une utilisation quotidienne matin et soir.</p>,Medicube,Pad vitaminé,"skincare,pads,vitamine-c,niacinamide,eclat,medicube",TRUE,Titre,70 pads,MED-DVC-001,0,shopify,15,continue,manual,22,30,TRUE,FALSE,https://images.unsplash.com/photo-9PnU-U7V6YE?w=600&q=80&auto=format&fit=crop,Deep Vita C Pad Medicube,active
celimax-pore-brightening-pad-40,Pore + Dark Spot Brightening Pad 100ml/40 pads,<p>Pads clarifiant pores et taches. Action double: affinage des pores + éclaircissement des taches. 40 pads saturés d'actifs pour un teint uniformisé.</p>,Celimax,Pad clarifiant,"skincare,pads,pores,taches,eclaircissant,celimax",TRUE,Titre,40 pads,CEL-PDB-001,0,shopify,15,continue,manual,20,28,TRUE,FALSE,https://images.unsplash.com/photo-9PnU-U7V6YE?w=600&q=80&auto=format&fit=crop,Pore Dark Spot Brightening Pad Celimax,active
medicube-pdrn-lip-sleeping-mask,PDRN Lip Sleeping Mask 10g,<p>Masque de nuit pour les lèvres. PDRN régénérant. Lèvres lisses et hydratées au réveil. Formule onctueuse qui nourrit intensément pendant la nuit.</p>,Medicube,Masque lèvres nuit,"skincare,levres,masque-nuit,pdrn,hydratant,medicube",TRUE,Titre,10g,MED-PLS-001,0,shopify,20,continue,manual,16,24,TRUE,FALSE,https://images.unsplash.com/photo-DIoJUtrr-_o?w=600&q=80&auto=format&fit=crop,PDRN Lip Sleeping Mask Medicube,active
medicube-azelaic-acid-exosome-shot,Azelaic Acid Exosome Shot 7500 - 30ml,<p>Sérum avancé avec acide azélaïque + niacinamide + exosomes. Anti-inflammatoire et correcteur. Les exosomes 7500 boostent la régénération cellulaire pour une peau transformée.</p>,Medicube,Sérum avancé,"skincare,serum,acide-azelaique,exosomes,niacinamide,anti-inflammatoire,medicube",TRUE,Titre,30ml,MED-AAE-001,0,shopify,10,continue,manual,45,60,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Azelaic Acid Exosome Shot Medicube,active
medicube-exosome-cica-serum,Exosome Cica Serum 30ml,<p>Sérum réparateur avec exosomes + centella 60% + tea tree. Apaise les peaux irritées et sensibles. La concentration de 60% en centella en fait l'un des sérums réparateurs les plus puissants.</p>,Medicube,Sérum réparateur,"skincare,serum,exosomes,centella,cica,reparateur,medicube",TRUE,Titre,30ml,MED-ECS-001,0,shopify,10,continue,manual,42,56,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Exosome Cica Serum Medicube,active
medicube-retinol-nmn-serum,Retinol NMN Boosting Serum 1.9% - 30ml,<p>Sérum anti-âge au rétinol 1.9% (Retinol-Some). Lisse les rides et booste la régénération. La technologie Retinol-Some permet une diffusion progressive pour une tolérance maximale.</p>,Medicube,Sérum anti-âge,"skincare,serum,retinol,anti-age,anti-rides,regeneration,medicube",TRUE,Titre,30ml,MED-RNM-001,0,shopify,10,continue,manual,48,64,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Retinol NMN Boosting Serum Medicube,active
medicube-one-day-exosome-shot-2000,One Day Exosome Shot 2000 - 30ml,<p>Sérum intensif avec 2000 exosomes. AHA+BHA+PHA pour exfoliation complète. Transformation visible en 1 jour. Triple acide + exosomes pour une peau régénérée du jour au lendemain.</p>,Medicube,Sérum intensif,"skincare,serum,exosomes,aha,bha,pha,exfoliation,medicube",TRUE,Titre,30ml,MED-ODE-001,0,shopify,10,continue,manual,50,68,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,One Day Exosome Shot 2000 Medicube,active
medicube-kojic-eye-gel-serum,Kojic Acid Turmeric Vita Eye Gel Serum 30ml,<p>Contour yeux avec acide kojique + curcuma + vitamine C + caféine. Réduit les cernes et les rides. Formule gel rafraîchissante pour défroisser le regard dès le matin.</p>,Medicube,Contour yeux,"skincare,contour-yeux,acide-kojique,cafeine,cernes,medicube",TRUE,Titre,30ml,MED-KJE-001,0,shopify,10,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Kojic Acid Turmeric Eye Gel Serum Medicube,active
medicube-deep-vita-a-retinol-serum,Deep Vita A Retinol Serum 30ml,<p>Sérum rétinol avec complexe HPR+5-rétinol 1% + complexe collagène 3%. Fermeté et élasticité maximales. La combinaison HPR (hydroxypinacolone rétinoate) + rétinol offre une efficacité anti-âge double.</p>,Medicube,Sérum rétinol,"skincare,serum,retinol,anti-age,collagene,fermete,medicube",TRUE,Titre,30ml,MED-DVA-001,0,shopify,10,continue,manual,46,62,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Deep Vita A Retinol Serum Medicube,active
medicube-kojic-toning-cleanser,Kojic Acid Turmeric Toning Cleanser 100 - 120g,<p>Nettoyant poudre à l'acide kojique 100. Transforme en mousse luxe. Purifie et uniformise le teint. La texture poudre permet un dosage précis pour une expérience sur mesure.</p>,Medicube,Nettoyant,"skincare,nettoyant,poudre,acide-kojique,mousse,medicube",TRUE,Titre,120g,MED-KTC-001,0,shopify,15,continue,manual,25,35,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Kojic Acid Turmeric Toning Cleanser Medicube,active
medicube-collagen-jelly-cream,Collagen Jelly Cream 110ml,<p>Crème collagène gelée. Collagène + collagène soluble + hydrolysé. Hydratation intense et lissante. La texture gel unique se transforme en sérum soyeux à l'application.</p>,Medicube,Crème,"skincare,creme,collagene,gelée,hydratant,medicube",TRUE,Titre,110ml,MED-CJC-001,0,shopify,10,continue,manual,35,48,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Collagen Jelly Cream Medicube,active
medicube-collagen-night-mask,Collagen Night Wrapping Mask 75ml,"<p>Masque de nuit collagène. Extrait de collagène + niacinamide + céramide NP. Réveil éclatant. Appliqué le soir, agit pendant 8h pour une peau rebondie au matin.</p>",Medicube,Masque nuit,"skincare,masque-nuit,collagene,niacinamide,ceramide,medicube",TRUE,Titre,75ml,MED-CNM-001,0,shopify,10,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-DIoJUtrr-_o?w=600&q=80&auto=format&fit=crop,Collagen Night Wrapping Mask Medicube,active
medicube-collagen-glow-booster-stylo,Collagen Glow Booster Serum (stylo),<p>Sérum booster format stylo pratique. Collagène repulpant. Utilisation quotidienne facile. Le format stylo permet une application précise et hygiénique en déplacement.</p>,Medicube,Sérum booster,"skincare,serum,collagene,booster,stylo,medicube",TRUE,Titre,Taille unique,MED-CGB-001,0,shopify,15,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Collagen Glow Booster Serum Medicube,active
medicube-pdrn-pink-capsule-cream,PDRN Pink Collagen Capsule Cream 55g,<p>Crème capsule rose au PDRN + acide sodium DNA + niacinamide 5%. Régénération et luminosité. La texture capsule libère les actifs progressivement pour un effet prolongé.</p>,Medicube,Crème,"skincare,creme,pdrn,collagene,niacinamide,regeneration,medicube",TRUE,Titre,55g,MED-PPC-001,0,shopify,10,continue,manual,40,54,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,PDRN Pink Collagen Capsule Cream Medicube,active
medicube-txa-niacinamide-capsule-cream,TXA Niacinamide Capsule Cream 5% - 55g,<p>Crème capsule rouge au TXA + niacinamide 5%. Clarifiante et apaisante pour peaux problématiques. Le TXA (acide tranexamique) est un puissant dépigmentant de nouvelle génération.</p>,Medicube,Crème,"skincare,creme,txa,niacinamide,clarifiante,medicube",TRUE,Titre,55g,MED-TNC-001,0,shopify,10,continue,manual,38,52,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,TXA Niacinamide Capsule Cream Medicube,active
medicube-txa-niacinamide-15-serum,TXA Niacinamide 15 Serum 30ml,<p>Sérum puissant TXA + niacinamide 15%. Action correctrice et apaisante. Résultat en 7 jours. La concentration de niacinamide 15% est l'une des plus élevées du marché pour une efficacité maximale.</p>,Medicube,Sérum,"skincare,serum,txa,niacinamide,correcteur,medicube",TRUE,Titre,30ml,MED-TNS-001,0,shopify,10,continue,manual,44,60,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,TXA Niacinamide 15 Serum Medicube,active
medicube-pdrn-sun-cream-spf50,PDRN Pink Tone Up Sun Cream SPF50+ PA++++ 50ml,<p>Crème solaire teintée PDRN + sodium DNA + glutathion. Protection + lumière + teint unifié. Double action protection solaire et soin régénérant pour une peau lumineuse toute la journée.</p>,Medicube,Crème solaire,"skincare,solaire,spf50,pdrn,teinté,protection,medicube",TRUE,Titre,50ml,MED-PSC-001,0,shopify,12,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,PDRN Pink Tone Up Sun Cream SPF50 Medicube,active
medicube-hyaluronic-ceramide-jelly-cream,Hyaluronic Ceramide Jelly Cream 60ml,<p>Crème gelée avec 10 types d'acide hyaluronique + céramides + niacinamide 2%. Hydratation extrême. Les 10 variantes d'acide hyaluronique hydratent à toutes les profondeurs cutanées.</p>,Medicube,Crème,"skincare,creme,hyaluronique,ceramide,niacinamide,hydratation,medicube",TRUE,Titre,60ml,MED-HCJ-001,0,shopify,10,continue,manual,34,46,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Hyaluronic Ceramide Jelly Cream Medicube,active
medicube-zero-pore-serum,Zero Pore One Day Serum 30ml,<p>Sérum pores avec AHA+BHA+PHA 15.2% + allantoine. Affinage des pores en 1 jour. La combinaison triple acide à 15.2% est optimisée pour une exfoliation efficace sans irritation.</p>,Medicube,Sérum pores,"skincare,serum,pores,aha,bha,pha,exfoliant,medicube",TRUE,Titre,30ml,MED-ZPS-001,0,shopify,10,continue,manual,36,50,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Zero Pore One Day Serum Medicube,active
medicube-red-acne-body-spray,Red Acne Body Peeling Shot 110g,<p>Spray corps anti-acné. AHA+BHA+PHA+LHA 32% + niacinamide 2% + acide succinique. Corps lisse. La formule quadruple acide à 32% offre une exfoliation complète pour un corps parfait.</p>,Medicube,Spray corps,"skincare,corps,anti-acne,exfoliant,aha,bha,medicube",TRUE,Titre,110g,MED-RAB-001,0,shopify,10,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Red Acne Body Peeling Shot Medicube,active
medicube-red-foam-cleanser,Red Foam Cleanser 120ml,"<p>Nettoyant mousse anti-acné. Formule richement moussante. Purifie et apaise. Idéal pour une routine anti-imperfections, ce nettoyant élimine les excès de sébum sans assécher.</p>",Medicube,Nettoyant mousse,"skincare,nettoyant,mousse,anti-acne,purifiant,medicube",TRUE,Titre,120ml,MED-RFC-001,0,shopify,15,continue,manual,22,30,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Red Foam Cleanser Medicube,active
medicube-pdrn-pink-peptide-eye-cream,PDRN Pink Peptide Eye Cream 30ml,<p>Contour yeux peptides rose. PDRN + sodium DNA + niacinamide 5%. Rides et cernes réduits. Formule ultra-concentrée en actifs régénérants pour un regard rajeuni.</p>,Medicube,Contour yeux,"skincare,contour-yeux,pdrn,peptides,cernes,rides,medicube",TRUE,Titre,30ml,MED-PPE-001,0,shopify,10,continue,manual,30,42,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,PDRN Pink Peptide Eye Cream Medicube,active
medicube-red-acne-peel-1min,Red Acne Succinic Acid Peel 1 Min - 40g,"<p>Peeling rapide 1 minute. Acide succinique + AHA + BHA. Exfoliation express. En seulement 60 secondes, ce peeling professionnel élimine les impuretés et resserre les pores.</p>",Medicube,Peeling 1 minute,"skincare,peeling,acide-succinique,aha,bha,express,medicube",TRUE,Titre,40g,MED-RAP-001,0,shopify,12,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Red Acne Succinic Acid Peel 1 Min Medicube,active
medicube-red-cream,Red Cream 50ml,"<p>Crème anti-acné classique. Apaise et clarifie. Base parfaite de routine. La formule éprouvée Medicube pour une peau nette, l'incontournable des routines anti-imperfections.</p>",Medicube,Crème anti-acné,"skincare,creme,anti-acne,apaisant,medicube",TRUE,Titre,50ml,MED-RCR-001,0,shopify,15,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Red Cream Medicube,active
arencia-vitamin-c-booster-shot,Vitamin C Booster Shot 30ml,<p>Booster vitaminé. Vitamine C complexe 15% + glutathion. Utilisation universelle face + yeux. La formule double action illumine et protège contre le stress oxydatif.</p>,Arencia,Booster visage et yeux,"skincare,booster,vitamine-c,glutathion,eclat,arencia",TRUE,Titre,30ml,ARE-VCB-001,0,shopify,10,continue,manual,40,54,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Vitamin C Booster Shot Arencia,active
arencia-retinal-booster-shot,Retinal Booster Shot 30ml,"<p>Booster rétinal. Complexe Retin-A 2% + caféine. Fermeté et dynamisme. Le rétinal, précurseur direct du rétinol, offre une efficacité anti-âge supérieure avec moins d'irritations.</p>",Arencia,Booster fermeté,"skincare,booster,retinal,cafeine,fermete,anti-age,arencia",TRUE,Titre,30ml,ARE-RBS-001,0,shopify,10,continue,manual,42,56,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Retinal Booster Shot Arencia,active
dr-g-red-blemish-cream,R.E.D Blemish Clear Soothing Cream 70ml,"<p>Crème apaisante anti-imperfections. R.E.D system apaisant. Calme les inflammations. Recommandée par les dermatologues coréens, cette crème est le soin de référence pour les peaux réactives.</p>",Dr.G,Crème apaisante,"skincare,creme,apaisant,anti-imperfections,inflammations,dr-g",TRUE,Titre,70ml,DRG-RED-001,0,shopify,10,continue,manual,30,42,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,RED Blemish Clear Soothing Cream Dr.G,active
goodal-green-tangerine-sun-cream,Green Tangerine Vita-C Dark Spot Care Tone Up Cream SPF50+ PA++++,"<p>Crème solaire teintée. Vitamine C + acide kojique. Protection + luminosité + unifiance. L'extrait de mandarine verte, riche en vitamine C, agit contre les taches brunes tout en protégeant.</p>",Goodal,Crème solaire éclat,"skincare,solaire,spf50,vitamine-c,teinté,anti-taches,goodal",TRUE,Titre,Taille unique,GOO-GTC-001,0,shopify,12,continue,manual,34,46,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Green Tangerine Vita-C Tone Up Cream Goodal,active
mary-may-spicule-retinol-cream,Spicule Retinol PDRN Cream 2000 Shot,<p>Crème spicule rétinol. 2000ppm spicule + 1000ppm rétinol + 2% panthenol + cica PDRN. La technologie spicule microinfuse les actifs en profondeur pour une efficacité décuplée.</p>,Mary & May,Crème,"skincare,creme,spicule,retinol,pdrn,cica,mary-and-may",TRUE,Titre,Taille unique,MAM-SRP-001,0,shopify,10,continue,manual,36,50,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Spicule Retinol PDRN Cream Mary May,active
centellian24-madeca-cream,Madeca Cream Time Reverse 50ml,"<p>Crème centella thérapeutique. TECAology + Madeca science. Réparation intensive. Développée avec la technologie TECAology exclusive, cette crème inverse les signes du vieillissement cutané.</p>",Centellian 24,Crème,"skincare,creme,centella,reparateur,anti-age,centellian24",TRUE,Titre,50ml,C24-MCR-001,0,shopify,10,continue,manual,38,52,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Madeca Cream Time Reverse Centellian 24,active
skin1004-centella-retinol-ampoule,Madagascar Centella Retinol 0.2% Boosting Shot Ampoule 30ml,<p>Ampoule centella + rétinol 0.2%. 500 shot spicule + squalane. Régénération maximale. L'association centella + rétinol dans une base squalane offre efficacité et tolérance cutanée.</p>,Skin1004,Ampoule,"skincare,ampoule,centella,retinol,spicule,squalane,skin1004",TRUE,Titre,30ml,SK1-CRA-001,0,shopify,10,continue,manual,36,50,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Madagascar Centella Retinol Ampoule Skin1004,active
skin1004-centella-niacinamide-ampoule,Madagascar Centella Niacinamide 10% Boosting Shot Ampoule 30ml,<p>Ampoule centella + niacinamide 10%. 300 shot spicule + acide tranexamique. Clarté et apaisement. La formule boostée offre un double bénéfice : clarté du teint et apaisement des inflammations.</p>,Skin1004,Ampoule,"skincare,ampoule,centella,niacinamide,anti-taches,skin1004",TRUE,Titre,30ml,SK1-CNA-001,0,shopify,10,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Madagascar Centella Niacinamide Ampoule Skin1004,active
aplb-glutathione-sunscreen,Glutathione Niacinamide Sunscreen SPF50 PA++++ 40ml,<p>Crème solaire lipo glutathion. Centella asiatica. Protection + blancheur. Le glutathion liposomal pénètre en profondeur pour éclaircir uniformément tout en protégeant du soleil.</p>,APLB,Crème solaire,"skincare,solaire,spf50,glutathion,niacinamide,aplb",TRUE,Titre,40ml,APL-GNS-001,0,shopify,12,continue,manual,30,42,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Glutathione Niacinamide Sunscreen APLB,active
jolen-creme-bleach-mild-30ml,Jolen Creme Bleach Mild Formula 30ml,<p>Décolorant poils doux formule légère. Aloe vera. Petite taille pratique. La formule enrichie en aloe vera préserve la douceur de la peau pendant le traitement.</p>,Jolen,Décolorant poils,"skincare,decolorant,doux,aloe-vera,jolen",TRUE,Titre,30ml,JOL-CBM-001,0,shopify,20,continue,manual,12,18,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Jolen Creme Bleach Mild Formula 30ml,active
jolen-creme-bleach-113g,Jolen Creme Bleach 113g,<p>Décolorant poils grande taille. Formule douce et efficace. Résultat naturel. La grande taille économique pour une utilisation régulière. Formule éprouvée depuis des décennies.</p>,Jolen,Décolorant poils,"skincare,decolorant,grande-taille,jolen",TRUE,Titre,113g,JOL-CBG-001,0,shopify,20,continue,manual,16,22,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Jolen Creme Bleach 113g,active
bioderma-photoderm-spray-enfants,Bioderma Photoderm Pediatrics Spray SPF50+ 200ml,<p>Spray solaire enfants dès 12 mois. Protection extrême. Waterproof. Formule hypoallergénique testée dermatologiquement sur peaux sensibles des tout-petits.</p>,Bioderma,Spray solaire enfants,"skincare,solaire,spf50,enfants,waterproof,bioderma,pediatrique",TRUE,Titre,200ml,BIO-PPS-001,0,shopify,12,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-BibJjO4sYrI?w=600&q=80&auto=format&fit=crop,Bioderma Photoderm Pediatrics Spray SPF50,active
bioderma-photoderm-brume-invisible,Bioderma Photoderm Brume Invisible SPF50+ 150ml,<p>Brume solaire invisible. Peaux sensibles. Invisible et ultra-légère. Parfaite pour retoucher sa protection solaire par-dessus le maquillage sans altérer le teint.</p>,Bioderma,Brume solaire,"skincare,solaire,spf50,brume,invisible,bioderma,peaux-sensibles",TRUE,Titre,150ml,BIO-PHB-001,0,shopify,12,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-BibJjO4sYrI?w=600&q=80&auto=format&fit=crop,Bioderma Photoderm Brume Invisible SPF50,active
